"last_name, first_name",player_id,year,k_percent,bb_percent,p_out,p_win,p_shutout,p_era,p_opp_batting_avg,p_total_strike,z_swing_miss_percent,oz_swing_miss_percent,pitch_count_fastball,pitch_count_breaking,in_zone_percent,whiff_percent,f_strike_percent,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,ch_avg_speed,ch_avg_spin,cu_avg_speed,cu_avg_spin,si_avg_speed,si_avg_spin,fc_avg_speed,fc_avg_spin,fs_avg_speed,fs_avg_spin,st_avg_speed,st_avg_spin,fastball_avg_speed,fastball_avg_spin
"Strahm, Matt",621381,2024,33.3,4.6,188,6,0,1.87,,683,22.0,39.3,790,190,55.5,26.7,62.3,93.4,2496.0,19.4,81.5,2720.0,80.1,1375.0,,,93.4,2425.0,88.4,2533.0,,,,,92.7,2487
"Young, Danny",664849,2024,29.1,10.9,113,4,0,4.54,,419,16.6,52.9,333,0,43.0,30.7,56.4,,,,,,,,,,91.4,2359.0,87.1,2397.0,,,80.6,2812.0,91.3,2359
"Winckowski, Josh",670174,2024,17.9,7.7,228,4,0,4.14,,800,14.4,38.3,919,165,52.4,20.9,61.6,95.1,2144.0,13.3,85.2,2362.0,91.4,1692.0,,,95.1,2005.0,90.4,2187.0,,,,,92.9,2101
"Snell, Blake",605483,2024,34.7,10.5,312,5,1,3.12,,1110,24.2,58.6,822,640,42.8,37.7,64.8,95.9,2435.0,10.0,88.7,2320.0,85.5,1816.0,81.1,2517.0,97.3,1120.0,,,,,,,95.9,2434
"Kirby, George",669923,2024,23.0,3.0,573,14,0,3.53,,2031,17.9,39.3,1720,944,52.0,24.1,66.3,96.0,2233.0,23.7,87.2,2364.0,85.4,1544.0,83.3,2468.0,96.0,2219.0,92.3,2301.0,86.0,944.0,,,96.0,2228
"Uribe, Abner",682842,2024,21.2,18.2,43,2,0,6.91,,147,21.1,40.0,169,89,50.4,26.0,48.5,99.8,2425.0,34.5,87.9,2613.0,,,,,98.7,2297.0,,,,,,,98.7,2299
"Paddack, Chris",663978,2024,20.6,5.5,265,5,0,4.99,,959,17.5,39.0,626,456,50.6,24.0,63.5,93.3,2214.0,17.7,85.9,2032.0,82.9,1895.0,78.2,2133.0,,,,,,,,,93.3,2214
"Brzykcy, Zach",694350,2024,14.3,10.7,17,0,0,14.29,,67,10.3,52.9,58,24,45.7,26.1,60.7,94.0,2188.0,,,,87.0,1946.0,82.8,2637.0,,,,,,,,,94.0,2188
"Buehler, Walker",621111,2024,18.6,8.1,226,1,0,5.38,,846,12.3,39.1,884,267,50.9,19.4,60.5,95.0,2279.0,0.8,86.2,2569.0,90.0,1564.0,78.0,2566.0,94.8,2140.0,91.2,2417.0,,,82.6,2698.0,93.8,2288
"Ryan, River",689981,2024,22.2,11.1,61,1,0,1.33,,183,9.8,63.9,157,113,48.8,23.9,58.0,96.3,2433.0,22.7,89.9,2502.0,89.6,1696.0,83.2,2588.0,94.7,2237.0,94.0,2467.0,,,,,95.8,2397
